Series Name                                                                                    , Series Code         , 1975 [YR1975]    , 1976 [YR1976]     , 1977 [YR1977]    , 1978 [YR1978]    , 1979 [YR1979]    , 1980 [YR1980]    , 1981 [YR1981]    , 1982 [YR1982]     , 1983 [YR1983]    , 1984 [YR1984]    , 1985 [YR1985]     , 1986 [YR1986]    , 1987 [YR1987]    , 1988 [YR1988]    , 1989 [YR1989]    , 1990 [YR1990]    , 1991 [YR1991]    , 1992 [YR1992]    , 1993 [YR1993]    , 1994 [YR1994]    , 1995 [YR1995]    , 1996 [YR1996]     , 1997 [YR1997]      , 1998 [YR1998]     , 1999 [YR1999]    , 2000 [YR2000]      , 2001 [YR2001]    , 2002 [YR2002]     , 2003 [YR2003]     , 2004 [YR2004]     , 2005 [YR2005]     , 2006 [YR2006]     , 2007 [YR2007]     , 2008 [YR2008]     , 2009 [YR2009]     , 2010 [YR2010]     , 2011 [YR2011]     , 2012 [YR2012]     , 2013 [YR2013]     , 2014 [YR2014]     , 2015 [YR2015]     , 2016 [YR2016]     , 2017 [YR2017]     , 2018 [YR2018]     , 2019 [YR2019]     , 2020 [YR2020]     , 2021 [YR2021]     , 2022 [YR2022]     , 2023 [YR2023]      , 2024 [YR2024]
"Inflation, consumer prices (annual %)"                                                        , FP.CPI.TOTL.ZG      , 20.9045094573998 , 7.15832373118465  , 10.1329676874055 , 6.13869266742743 , 8.26704697617572 , 11.9382309107087 , 11.8799135925283 , 5.90352878435863  , 6.362033499853   , 6.08716673573716 , 5.61483921793224  , 3.50641424758205 , 4.68121854620213 , 8.83793701817773 , 7.84426473740044 , 9.05213155279776 , 11.7912703351416 , 9.5090414619015  , 9.97366476029209 , 12.3681943936948 , 12.3435785170513 , 10.3738085885002  , 11.3754928865122   , 6.22800415424543  , 4.14263718082171 , 4.36666451291681   , 3.14826144590618 , 3.29034472613153  , 2.91413470059479  , 7.44462469342739  , 9.06332737030417  , 7.92108440058789  , 7.59868441050774  , 20.2861210929554  , 13.6477650639761  , 12.9388705634889  , 11.9160927116277  , 9.68235186055684  , 7.69215611899565  , 7.18938402847028  , 2.52932817254229  , 3.7651191635658   , 4.08537368032608  , 5.07805725868917  , 10.5783618004555  , 9.73999313898155  , 9.49621056124947  , 19.8738599646655  , 30.7681280657005   , 12.6325318530452
Broad money (% of GDP)                                                                         , FM.LBL.BMNY.GD.ZS   , 33.9958446884865 , 38.3290632383173  , 39.3562518364185 , 40.0543287170937 , 43.1559910730318 , 41.5586367693089 , 39.0147953241599 , 40.792481467428   , 43.87686717693   , 39.8550507143844 , 40.6612842762047  , 43.3097066849098 , 45.3110594449753 , 41.3654205206185 , 38.9809612274195 , 39.1371037557407 , 39.041064079953  , 42.5300049117333 , 45.3647021643092 , 45.4102957414578 , 43.5708459410415 , 46.0412900268044  , 48.2032374752503   , 47.1502313964154  , 44.8202563386139 , 28.6895037123433   , 29.8765629925912 , 32.9585711899888  , 35.5893433024332  , 36.5879118313579  , 37.6011583909744  , 47.8020865795712  , 48.7159412383176  , 45.8138779202502  , 46.339153856902   , 47.2954352374351  , 44.5540838769731  , 46.1863468466881  , 46.6987110926231  , 46.6655502926414  , 48.0947897059567  , 50.8043096148012  , 51.4077109638097  , 51.2232935528021  , 51.1835848516191  , 54.5263893717141  , 51.2623868410964  , 46.1226561682612  , 42.5717384302316   , ..
Lending interest rate (%)                                                                      , FR.INR.LEND         , ..               , ..                , ..               , ..               , ..               , ..               , ..               , ..                , ..               , ..               , ..                , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..                , ..                 , ..                , ..               , ..                 , ..               , ..                , ..                , 7.2575            , 9.07166666666667  , 10.9875           , 11.7683333333333  , 12.9358333333333  , 14.5375           , 14.0425           , 14.4191666666667  , 13.5191666666667  , 11.9858333333333  , 11.73             , 10.1558333333333  , 8.755             , 8.21              , 8.53083333333334  , 12.233054804153   , 10.7577494267999  , 8.66597421472524  , ..                , ..                 , ..
GDP growth (annual %)                                                                          , NY.GDP.MKTP.KD.ZG   , 4.21141563146435 , 5.15618958986124  , 3.94769828741323 , 8.04853361937855 , 3.75843556852186 , 10.2157040372755 , 7.92076357199696 , 6.53748679998847  , 6.77837833870171 , 5.06520560476402 , 7.59211469875896  , 5.50165366386253 , 6.45234302466982 , 7.62527877959378 , 4.95976889440439 , 4.45858681510218 , 5.06156775897861 , 7.70589781716029 , 1.7577476978468  , 3.73741555767747 , 4.96260914623281 , 4.84658128681654  , 1.01439601077892   , 2.55023429817393  , 3.66013273943236 , 4.2600880111325    , 3.65135017083765 , 2.59481668445784  , 5.40131087314342  , 7.83125556961251  , 7.2765744364722   , 6.05163767569996  , 4.4448143398844   , 2.1204410433083   , 3.47255059567348  , 1.50171752152883  , 2.68011685421705  , 3.02758391088629  , 4.36686504978387  , 4.11642817161422  , 4.21794209572506  , 6.57383828511043  , 4.43262590683975  , 6.15170261099519  , 2.49763692943365  , -1.27408744338709 , 6.51388575852702  , 4.7781068690358   , -0.0396925228069165, ..
"Official exchange rate (LCU per US$, period average)"                                         , PA.NUS.FCRF         , 9.9              , 9.9               , 9.9              , 9.9              , 9.9              , 9.9              , 9.9              , 11.8474666658333  , 13.1169749993333 , 14.0463333330833 , 15.92839166625    , 16.6475083330833 , 17.3988          , 18.0032916666667 , 20.5414916666667 , 21.707375        , 23.8007666666667 , 25.0827916666667 , 28.1071833333333 , 30.5665916666667 , 31.6426833333333 , 36.0786833333333  , 41.111525          , 45.0466666666667  , 49.5006915833333 , 53.6481865         , 61.9271616666666 , 59.7237816666667  , 57.7519966666667  , 58.2578633333333  , 59.514475         , 60.271335         , 60.7385158333334  , 70.4080333333333  , 81.7128916666666  , 85.1938163257576  , 86.3433833333333  , 93.3951972222222  , 101.628899206349  , 101.100088423521  , 102.769271604675  , 104.769117033301  , 105.455162087938  , 121.824068875756  , 150.036253839864  , 161.838479684718  , 162.906253747418  , 204.867187469982  , 280.356111655149   , 278.580716167563
Current account balance (% of GDP)                                                             , BN.CAB.XOKA.GD.ZS   , ..               , -5.69556436292968 , -4.8294849245496 , -4.01359263625061, -5.64338305335562, -3.66146337714972, -3.24682449425173, -2.58632587353654 , 0.150761542164496, -3.80048637214436, -3.42647654062989 , -1.99398424722894, -1.66801834551223, -3.69691808527703, -3.33082801461705, -4.15244201309876, -2.77569478723708, -3.83779241680643, -5.59847609574865, -3.46530848690822, -5.52270880088959, -7.00574971079085 , -2.74152798261064  , -3.61461538001894 , -1.46092369568391, -0.0854401858342493, 1.93318034244488 , 3.93573326208505  , 3.17962013910419  , -0.617928012719509, -2.48346235681318 , -4.16812395772995 , -4.50796175781862 , -7.74194351471585 , -2.13167355660601 , -0.688324235118166, -0.957124213324854, -0.936399348037174, -1.70727876868057 , -1.34787339235798 , -0.934446742353906, -2.29279660651385 , -4.76985760466006 , -5.29556175645778 , -2.66677325730292 , -0.216650637871501, -3.52439577565177 , -3.25858181478804 , -0.244214768763813 , ..
"Unemployment, total (% of total labor force) (modeled ILO estimate)"                          , SL.UEM.TOTL.ZS      , ..               , ..                , ..               , ..               , ..               , ..               , ..               , ..                , ..               , ..               , ..                , ..               , ..               , ..               , ..               , ..               , 0.611            , 0.596            , 0.61             , 0.617            , 0.632            , 0.616             , 0.631              , 0.645             , 0.652            , 0.634              , 0.629            , 0.635             , 0.63              , 0.608             , 0.585             , 0.582             , 0.398             , 0.423             , 0.535             , 0.653             , 0.796             , 3.667             , 2.954             , 1.827             , 3.566             , 2.285             , 3.215             , 4.083             , 4.83              , 6.127             , 6.338             , 5.485             , 5.408              , 5.472
General government final consumption expenditure (% of GDP)                                    , NE.CON.GOVT.ZS      , 10.7480460142288 , 11.0022705654935  , 11.1614178486524 , 10.8407907720576 , 10.4348049149629 , 10.0500044837496 , 10.1640569957871 , 10.3412214376278  , 11.4180802278896 , 12.0868885808071 , 12.09894166559    , 12.7614997706654 , 13.5344702600445 , 15.5101726560545 , 16.7849092881409 , 15.1367556017165 , 14.2636684303351 , 12.8420774567953 , 13.0199928594269 , 12.0210006121682 , 11.7435241130122 , 12.645100187579   , 11.8935705131795   , 11.2641056207369  , 10.360099905424  , 9.9160206648119    , 8.65570653037113 , 9.6285694166749   , 9.73121677110963  , 9.68678666393757  , 9.1609556235992   , 11.5685913146856  , 10.4024955023166  , 10.5820947880328  , 11.5288240714569  , 10.9187567384172  , 10.2265870455208  , 10.09929489639    , 10.2598060033349  , 10.0273763648972  , 9.78896258049987  , 10.6089558490806  , 10.7537407933813  , 10.9936256389097  , 10.7497531702128  , 11.7888005549132  , 10.9295676776143  , 10.4918852190112  , 10.3067482645731   , ..
"Central government debt, total (% of GDP)"                                                    , GC.DOD.TOTL.GD.ZS   , ..               , ..                , ..               , ..               , ..               , ..               , ..               , ..                , ..               , ..               , ..                , ..               , ..               , ..               , ..               , 78.7725350870327 , 76.0908289241623 , 74.5285767943305 , 78.910190522119  , ..               , ..               , ..                , ..                 , 79.0846919843326  , ..               , 55.0324216144747   , ..               , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                 , ..
Imports of goods and services (% of GDP)                                                       , NE.IMP.GNFS.ZS      , 20.7010064488276 , 18.2979963793685  , 17.8573336538718 , 18.4876427688364 , 21.8192545468538 , 23.3061034507791 , 22.332815712663  , 21.1319136596547  , 22.5084868560075 , 21.9679753788691 , 22.6045573823961  , 20.1105081899668 , 19.0876870592633 , 19.4253978077819 , 20.3497262080299 , 20.2458574928471 , 18.4872623946698 , 20.4238124130644 , 22.2972222574199 , 18.8993431428577 , 19.4227840177671 , 21.4270250588042  , 20.7703128757754   , 17.5269340049655  , 16.9664634820763 , 11.8303432242526   , 12.9510357640204 , 11.8660550291576  , 12.4855222112119  , 13.3853667088544  , 17.6266520708267  , 20.5007688187365  , 19.1628042450621  , 22.4731419747865  , 20.9358990809684  , 19.3517760693609  , 18.8800834134221  , 19.4450085916423  , 18.7127757351044  , 18.2748533038429  , 16.7136135869803  , 15.9648622680443  , 17.25042393966    , 19.0442566575342  , 19.5147124206658  , 17.4177214167425  , 17.9788210968775  , 22.4907628308784  , 18.1203746435817   , ..
